City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
193,Tay Ninh,VN,82.02,scattered clouds,11.3,106.1,Thanh Tuyền Hotel
194,Katsuura,JP,64.99,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
195,Allen,US,51.8,overcast clouds,41.0706,-85.0144,Holiday Inn Express Fort Wayne-East (New Haven)
197,Bengkulu,ID,75.83,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
199,Bonthe,SL,80.69,clear sky,7.5264,-12.505,Bonthe Holiday Village
200,Padang,ID,73.4,scattered clouds,-0.9492,100.3543,Mercure Padang
201,Karratha,AU,79.81,clear sky,-20.7377,116.8463,ibis Styles Karratha
206,North Bend,US,51.8,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
210,Carman,CA,48.2,overcast clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
212,Aswān,EG,80.98,clear sky,24.0934,32.907,Nuba Nile
214,Laguna,US,66.2,broken clouds,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
215,San Andrés,CO,82.4,few clouds,12.5847,-81.7006,Hotel Arena Blanca
216,Phalodi,IN,76.86,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
217,Mandalī,IQ,82.38,broken clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
219,Port Blair,IN,81.45,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
222,Fortuna,US,55.99,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
223,Mossamedes,AO,77.86,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
225,Iquique,CL,66.2,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
226,Port Hedland,AU,80.6,clear sky,-20.3167,118.5667,The Esplanade Hotel
227,Zwedru,LR,74.89,broken clouds,6.0667,-8.1281,Elijah Worjloh
229,São João da Barra,BR,71.76,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
230,Kwang Binh,VN,81.18,overcast clouds,17.4833,106.6,Nam Long Hotel
232,Kaitangata,NZ,51.01,light rain,-46.2817,169.8464,Kaitangata Motor Camp
235,San Francisco de Macorís,DO,78.8,few clouds,19.2952,-70.2554,Hotel Las Caobas
238,Uruçuí,BR,77.63,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
239,Rocha,UY,63.99,overcast clouds,-34.4833,-54.3333,Beleza Pura B&B
240,Den Helder,NL,45.0,overcast clouds,52.9599,4.7593,Hotel Den Helder
242,Mergen,CN,45.46,clear sky,49.1833,125.2167,Nenjiang Apartment
243,Puerto Madero,MX,84.2,broken clouds,14.7208,-92.4215,Hotel La Central
246,Burnie,AU,57.99,scattered clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
248,Lac du Bonnet,CA,45.0,overcast clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
249,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
250,São Miguel do Araguaia,BR,76.3,few clouds,-13.275,-50.1628,Hotel Executivo Palace
251,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
252,Port Augusta,AU,64.4,clear sky,-32.5,137.7667,Majestic Oasis Apartments
253,Richards Bay,ZA,68.31,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
254,Margate,GB,46.0,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
255,Sibolga,ID,75.45,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
256,Cabedelo,BR,77.0,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
258,Port Hardy,CA,50.0,light rain,50.6996,-127.4199,Airport Inn
259,Harare,ZW,57.99,overcast clouds,-17.8294,31.0539,Fife Avenue Hotel
260,Tateyama,JP,64.99,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
262,Djibouti,DJ,82.4,few clouds,11.5,42.5,Orchid Main Camp Goubet
263,Campbell River,CA,50.0,overcast clouds,50.0163,-125.2446,Ramada by Wyndham Campbell River
264,Jos,NG,71.56,overcast clouds,9.9167,8.9,Silk Suites
